SBUX	1205	0.480500	0.519500	0.823200
SCG	1012	0.478300	0.521700	0.829100
SCHW	1205	0.502900	0.497100	0.823200
SEE	1206	0.479300	0.520700	0.839100
SE	1206	0.460200	0.539800	0.840000
SHW	1206	0.468500	0.531500	0.840000
SIAL	1205	0.481300	0.518700	0.839800
SJM	1042	0.452000	0.548000	0.814800
SLB	1206	0.494200	0.505800	0.840000
SLM	1206	0.472600	0.527400	0.829200
SNA	1206	0.480100	0.519900	0.847400
SNDK	1205	0.494600	0.505400	0.839800
SNI	1124	0.471500	0.528500	0.837200
SO	1206	0.476800	0.523200	0.840800
SPG	1206	0.464300	0.535700	0.835000
SPLS	1205	0.471400	0.528600	0.828200
SRCL	1035	0.471500	0.528500	0.836700
SRE	1206	0.479300	0.520700	0.832500
STI	1206	0.491700	0.508300	0.832500
STJ	1206	0.479300	0.520700	0.822600
STT	1206	0.503300	0.496700	0.830800
S	1206	0.498300	0.501700	0.825000
STX	1012	0.486200	0.513800	0.836000
STZ	1206	0.476800	0.523200	0.824200
SWK	1206	0.501700	0.498300	0.825900
SWN	1141	0.507400	0.492600	0.827300
SWY	1206	0.465200	0.534800	0.835000
SYK	1206	0.478400	0.521600	0.836700
SYMC	1205	0.486300	0.513700	0.829000
SYY	1206	0.459400	0.540600	0.820900
TAP	1206	0.494200	0.505800	0.833300
TDC	1206	0.471000	0.529000	0.827500
TEG	1206	0.471800	0.528200	0.823400
TEL	1206	0.505000	0.495000	0.834200
TER	1206	0.492500	0.507500	0.834200
TE	1206	0.460200	0.539800	0.825000
TGT	1206	0.492500	0.507500	0.834200
THC	1206	0.491700	0.508300	0.822600
TIF	1206	0.497500	0.502500	0.842500
TJX	1206	0.473500	0.526500	0.843300
TMK	1206	0.464300	0.535700	0.840000
TMO	1206	0.485900	0.514100	0.834200
TROW	1205	0.502900	0.497100	0.834000
TRV	1206	0.463500	0.536500	0.843300
TSN	1206	0.456900	0.543100	0.833300
TSO	1206	0.473500	0.526500	0.835000
TSS	1206	0.468500	0.531500	0.831700
T	1206	0.475100	0.524900	0.837500
TWC	1012	0.473300	0.526700	0.817200
TWX	1206	0.486700	0.513300	0.820100
TXN	1206	0.480100	0.519900	0.832500
TXT	1206	0.500000	0.500000	0.830800
TYC	1206	0.485100	0.514900	0.838300
UNH	1206	0.472600	0.527400	0.820100
UNM	1206	0.471800	0.528200	0.827500
UNP	1206	0.476000	0.524000	0.814300
UPS	1206	0.488400	0.511600	0.820100
URBN	1012	0.483200	0.516800	0.835000
USB	1206	0.500800	0.499200	0.833300
UTX	1206	0.492500	0.507500	0.841600
VAR	1206	0.478400	0.521600	0.832500
VFC	1206	0.490900	0.509100	0.841600
VIAB	1012	0.455500	0.544500	0.841900
VLO	1206	0.490900	0.509100	0.846600
VMC	1206	0.486700	0.513300	0.839100
VNO	1206	0.479300	0.520700	0.840000
VRSN	1205	0.477200	0.522800	0.831500
VTR	1012	0.456500	0.543500	0.836000
V	1012	0.469400	0.530600	0.837900
VZ	1206	0.471000	0.529000	0.832500
WAG	1206	0.496700	0.503300	0.826700
WAT	1206	0.467700	0.532300	0.833300
WDC	1012	0.486200	0.513800	0.827100
WEC	1042	0.449100	0.550900	0.840700
WFC	1206	0.508300	0.491700	0.822600
WFM	1012	0.463400	0.536600	0.841900
WHR	1206	0.506600	0.493400	0.831700
WIN	1206	0.453600	0.546400	0.849900
WLP	1206	0.486700	0.513300	0.830800
WMB	1206	0.462700	0.537300	0.840000
WMT	1206	0.465200	0.534800	0.825000
WM	1148	0.481700	0.518300	0.838000
WPI	1112	0.483800	0.516200	0.828200
WPO	1206	0.488400	0.511600	0.842500
WU	1206	0.480900	0.519100	0.820100
WYNN	1041	0.507200	0.492800	0.834800
WYN	1206	0.491700	0.508300	0.836700
WY	1206	0.472600	0.527400	0.832500
XEL	1206	0.474300	0.525700	0.822600
XLNX	1205	0.491300	0.508700	0.834000
XL	1206	0.487600	0.512400	0.833300
XOM	1206	0.494200	0.505800	0.840800
XRAY	1041	0.471700	0.528300	0.836700
XRX	1206	0.485900	0.514100	0.837500
X	1206	0.504100	0.495900	0.836700
YHOO	1205	0.492100	0.507900	0.833200
YUM	1206	0.480100	0.519900	0.835800
ZION	1205	0.496300	0.503700	0.834900
ZMH	1206	0.478400	0.521600	0.824200
